,algorithm,params,groups,calinski_harabaz_score,silhouette_score
196,AgglomerativeClustering,affinity = l2 linkage = ward k = 9,9,91.4107829172,0.466208872543
197,AgglomerativeClustering,affinity = l2 linkage = complete k = 9,9,103.331293467,0.330845349687
198,AgglomerativeClustering,affinity = l2 linkage = average k = 9,9,107.669305936,0.469867226816
199,AgglomerativeClustering,affinity = l2 linkage = single k = 9,9,107.669305936,0.469867226816
200,AgglomerativeClustering,affinity = manhattan linkage = ward k = 9,9,107.669305936,0.469867226816
201,AgglomerativeClustering,affinity = manhattan linkage = complete k = 9,9,109.819010487,0.453892463676
202,AgglomerativeClustering,affinity = manhattan linkage = average k = 9,9,91.4107829172,0.466208872543
203,AgglomerativeClustering,affinity = manhattan linkage = single k = 9,9,91.4107829172,0.466208872543
204,AgglomerativeClustering,affinity = cosine linkage = ward k = 9,9,91.4107829172,0.466208872543
205,AgglomerativeClustering,affinity = cosine linkage = complete k = 9,9,103.331293467,0.330845349687
206,AgglomerativeClustering,affinity = cosine linkage = average k = 9,9,104.595337048,0.474180543189
207,AgglomerativeClustering,affinity = cosine linkage = single k = 9,9,104.595337048,0.474180543189
208,AgglomerativeClustering,affinity = precomputed linkage = ward k = 9,9,104.595337048,0.474180543189
209,AgglomerativeClustering,affinity = precomputed linkage = complete k = 9,9,104.595337048,0.474180543189
210,AgglomerativeClustering,affinity = precomputed linkage = average k = 9,9,104.595337048,0.474180543189
211,AgglomerativeClustering,affinity = precomputed linkage = single k = 9,9,104.595337048,0.474180543189
